"('greedy_selection', 'moment_updating')","('q_value_sampling', 'moment_updating')","('myopic_vpi_selection', 'moment_updating')"
-2.5,-19.9,-7.8
-4.8,-14.2,-8.6
-4.4,-21.2,-3.3
-5.3,-14.9,-6.5
-3.8,-21.2,-3.7
0.2,-22.3,-5.3
-2.3,-13.5,-5.2
-8.7,-14.2,-11.2
-6.5,-15.0,-3.2
-5.3,-18.5,-7.8
-4.4,-17.6,-8.6
-5.5,-12.8,-5.8
-4.2,-15.9,-6.7
-1.9,-12.7,-6.9
-9.0,-13.8,-6.7
-6.3,-6.9,-4.9
-6.6,-11.3,-2.7
-3.5,-15.9,-4.9
-0.2,-15.1,-8.7
-7.3,-12.0,-4.9
-4.7,-9.3,-5.6
-4.7,-18.3,-6.2
-3.0,-12.6,-2.9
-3.9,-9.3,-8.2
-7.6,-13.6,-7.6
-5.5,-16.7,-5.6
-5.0,-10.2,-4.4
-9.5,-9.1,-5.9
-4.4,-10.0,-6.2
-2.5,-12.6,-6.2
-5.0,-10.8,-7.8
-5.1,-17.6,-7.3
-6.3,-5.5,-4.9
-9.5,-9.4,-5.3
-1.0,-13.8,1.6
0.6,-13.0,-2.0
-4.4,-18.3,-8.0
-4.5,-10.4,-8.5
-2.4,-11.8,-5.4
-6.6,-8.5,-6.2
1.8,-10.6,-2.0
-11.7,-9.7,-7.0
0.0,-10.0,-5.5
-6.6,-17.8,-5.6
0.3,-11.5,-3.3
-0.9,-13.9,-4.6
-6.7,-11.8,-0.8
-5.3,-11.2,-4.5
-3.4,-16.0,-7.5
-11.1,-13.2,-3.3
-3.3,-20.3,-7.6
-5.0,-18.9,-4.0
-10.4,-10.4,-3.5
-3.6,-10.5,-2.3
-4.7,-13.1,-13.1
-7.4,-12.1,-3.5
-7.0,-13.6,0.0
-7.1,-17.5,-5.8
-3.6,-17.3,-3.0
-3.0,-11.5,-7.8
-9.2,-20.0,-8.7
-4.4,-9.4,-5.2
-6.2,-10.8,-7.0
-5.5,-16.6,-1.3
-2.4,-11.6,-5.0
-7.3,-13.5,-6.5
-5.5,-11.3,-7.5
-1.8,-18.6,-6.0
-2.4,-15.2,1.4
-5.4,-9.9,-2.4
-4.3,-13.2,-5.5
-10.9,-7.8,-6.6
-3.6,-17.7,-2.3
-4.5,-14.3,-4.0
-4.9,-16.2,-2.0
-5.6,-9.7,-4.7
-5.9,-26.0,-2.9
-2.9,-8.3,-2.0
-4.1,-18.4,-4.2
-3.2,-14.8,-1.2
-2.9,-15.1,-4.0
-6.4,-13.7,-5.8
-6.0,-11.5,-4.7
-7.3,-10.0,-0.1
-4.0,-24.0,-0.7
-5.3,-16.1,-10.3
-7.0,-8.9,-4.6
-4.0,-12.8,-2.2
-7.4,-19.2,-2.8
-8.1,-12.9,-4.2
-6.5,-7.2,-0.8
-10.9,-12.5,-3.7
-6.1,-10.7,-11.7
-9.1,-12.6,-6.3
-2.4,-16.3,-3.2
-3.7,-26.1,-3.6
-3.3,-13.5,-3.9
-5.2,-11.2,-5.5
-5.7,-13.3,-4.4
-3.6,-17.6,-3.3
-4.7,-13.4,-9.6
-4.2,-14.9,-1.1
-3.2,-16.7,-5.3
-6.4,-12.9,-5.4
-7.0,-17.2,-5.0
-4.2,-13.1,-2.8
-4.1,-13.8,-6.8
-2.6,-18.0,-3.3
-8.1,-14.8,-3.5
-11.5,-18.6,-5.2
-13.5,-14.7,-7.6
-6.8,-8.5,-5.2
-1.0,-18.4,-6.4
-3.9,-16.5,-1.7
