greedy,constant-epsilon,epsilon-greedy,boltzmann-exploration
4.9,-1.9,4.0,-3.7
5.0,0.4,5.2,-1.2
4.8,-0.9,3.8,2.2
5.7,3.1,4.3,-1.6
5.2,-3.1,3.5,-15.6
2.3,-1.1,3.6,-3.8
4.9,-0.9,4.1,-13.7
4.0,-2.7,4.2,-1.2
-4.3,0.5,5.9,-0.6
3.5,1.3,4.1,-3.8
4.3,-3.0,3.1,-2.9
4.8,3.1,5.2,-1.6
5.2,-0.5,3.6,1.0
3.6,-0.5,5.1,-8.6
4.1,-0.1,4.4,0.9
4.9,0.7,4.1,-2.6
2.5,-2.9,6.3,-10.3
4.1,-1.8,5.9,-1.3
4.1,0.1,5.0,1.1
4.8,-0.2,4.3,-2.5
4.7,1.1,5.1,2.0
3.6,-6.9,4.0,-8.7
5.0,0.8,4.3,1.7
4.7,-3.6,5.3,0.2
4.3,-1.7,5.5,0.8
4.3,-0.1,5.6,1.0
5.7,-4.0,2.8,-3.4
5.0,-2.1,4.4,0.2
3.4,-7.4,4.7,-1.2
5.1,-3.4,4.2,-2.2
4.1,-1.0,4.4,1.9
3.3,-8.9,5.1,-1.3
5.4,-0.1,4.9,-0.2
4.7,-0.6,4.9,0.8
6.0,-1.2,5.0,-0.6
-1.0,-2.1,2.2,0.4
3.7,-0.1,5.3,1.3
5.2,-4.5,4.1,0.4
4.7,-6.6,4.8,0.1
4.6,-1.9,5.3,0.3
3.3,-9.4,4.5,-0.1
4.7,-0.1,4.1,1.6
4.9,-5.1,5.3,1.1
5.2,0.3,4.3,-1.0
4.9,-1.5,4.7,-1.3
4.2,-0.3,5.1,-0.4
4.4,1.2,4.1,-0.8
5.1,-2.0,4.7,0.9
4.9,2.2,3.4,0.6
4.4,-0.5,2.8,0.3
5.5,0.5,4.8,0.0
5.4,1.2,4.8,-0.1
5.4,0.2,2.9,1.4
5.6,-3.0,4.7,0.0
3.8,-1.7,5.2,-0.8
4.8,-9.0,5.1,-0.3
4.8,-0.5,5.6,2.8
5.1,0.4,2.7,0.1
5.1,-3.8,4.6,1.4
4.6,2.7,6.0,-1.0
4.5,-1.3,4.9,0.4
5.7,2.6,5.6,-0.6
6.0,0.0,5.0,0.4
5.0,-1.5,4.0,-2.0
4.4,1.1,4.7,0.7
5.0,1.4,3.4,-0.9
5.4,3.3,4.6,-0.9
1.7,-1.6,4.5,0.5
4.3,-0.1,5.2,-1.7
