greedy,constant-epsilon,epsilon-greedy,boltzmann-exploration
33.08,46.68,33.4,37.52
29.2,44.04,34.36,45.16
29.08,40.64,26.32,39.76
27.12,42.8,33.68,44.24
27.52,36.72,29.4,44.72
27.76,39.68,35.28,42.36
33.12,45.12,32.48,40.04
32.52,40.76,31.6,42.68
29.88,36.08,31.4,35.84
28.72,40.6,33.48,39.48
28.36,39.52,32.08,40.08
33.32,40.8,33.6,44.08
36.32,38.04,28.08,43.56
30.32,43.28,28.32,37.96
30.68,40.16,28.96,42.36
29.0,39.8,33.76,39.08
35.56,38.8,33.36,45.24
34.8,37.28,33.08,40.52
28.52,46.48,29.28,42.48
29.12,34.52,34.56,39.72
27.76,38.24,28.64,40.88
30.08,34.68,28.04,42.92
29.88,38.2,32.48,40.2
31.08,41.36,35.16,41.96
30.92,39.0,31.52,38.36
31.6,33.2,31.6,39.36
36.36,41.6,27.56,39.4
33.56,35.6,32.16,41.64
36.52,34.92,27.4,40.08
28.76,40.84,33.48,36.76
36.52,42.4,33.24,41.76
31.0,34.0,31.72,47.64
28.64,42.96,32.64,45.44
32.92,44.76,32.52,40.84
31.32,40.0,33.2,44.32
32.64,38.88,37.32,43.16
29.56,38.08,28.92,40.24
28.92,42.8,28.68,41.0
33.48,37.28,32.4,47.28
27.8,39.92,39.68,41.88
35.32,46.68,37.56,43.12
32.32,37.96,30.96,40.44
29.64,38.44,33.92,42.8
32.76,46.56,29.6,41.04
34.36,40.92,36.16,47.36
29.04,36.56,28.48,37.12
30.52,37.36,33.36,43.6
29.24,38.36,32.8,44.52
31.76,39.04,31.44,45.8
33.24,39.08,33.44,41.24
33.0,37.88,30.96,42.92
30.52,37.8,32.08,48.96
29.68,41.68,32.16,43.72
29.72,43.76,32.76,42.88
33.04,38.08,31.88,35.88
31.92,36.28,31.32,44.0
32.6,42.92,29.36,45.12
30.64,37.0,31.28,39.48
34.08,39.96,33.56,39.48
31.08,40.8,31.0,41.24
29.64,43.64,30.28,42.56
32.64,35.2,35.72,39.4
29.84,33.72,35.8,51.2
28.88,39.4,34.24,43.28
32.8,38.0,30.24,40.52
28.64,42.0,35.2,41.64
30.04,38.24,33.2,50.36
30.36,41.76,31.12,45.4
29.56,38.32,31.32,43.4
32.68,42.36,32.64,42.52
34.32,38.68,29.48,43.92
34.12,37.48,32.4,45.0
26.32,44.8,30.64,44.36
32.52,45.0,31.64,41.8
34.72,44.48,30.68,46.68
33.6,38.96,28.76,38.72
30.48,38.8,31.6,39.28
33.72,39.68,29.96,43.16
31.36,39.24,29.84,46.04
28.72,33.24,27.96,36.76
28.16,43.72,30.84,41.16
26.84,47.96,33.6,43.0
30.96,40.28,31.2,32.56
31.0,35.56,25.88,41.08
31.44,39.0,35.4,46.4
32.48,41.36,33.44,42.24
30.28,41.52,32.08,44.24
27.28,31.44,34.24,41.0
27.44,44.12,31.84,44.64
29.24,41.0,33.04,34.92
30.32,39.2,28.0,43.64
32.96,37.56,29.16,39.68
29.36,34.72,31.52,45.72
29.68,38.44,33.04,44.72
35.0,41.0,31.2,44.76
30.4,37.52,32.44,44.2
33.6,43.84,29.4,43.68
33.08,46.96,36.08,47.16
29.48,36.0,32.28,41.0
30.84,34.12,35.32,42.64
32.24,37.8,28.64,42.0
36.28,35.0,31.36,46.8
29.4,38.52,32.24,42.32
34.84,39.0,35.96,41.92
32.72,36.88,30.44,40.48
31.8,36.96,29.24,42.56
27.76,42.4,32.88,40.8
31.12,38.36,27.32,38.72
28.12,38.72,33.68,45.44
35.4,38.6,30.08,50.76
34.04,36.64,37.72,41.12
31.04,31.72,30.6,40.28
33.8,40.48,32.2,43.92
27.6,41.64,32.28,41.52
28.2,35.28,29.52,42.52
32.08,42.0,29.92,47.68
29.72,42.64,31.72,43.88
31.2,31.08,30.68,45.52
33.84,38.48,30.44,40.16
29.92,37.72,32.32,44.96
28.88,41.96,31.04,38.72
35.24,40.44,36.36,38.16
35.6,41.28,36.88,40.96
29.96,40.8,33.56,43.0
